ID	Property	原文	正誤判定	正解Propertyの詳細	場面内の主語	場面内の述語	場面内の目的語
23	Who	女性	True		〇	〇	△
23	hasPredicate	遭う	True	hasPredicate	〇	〇	△
23	Obj	男	True	From	〇	〇	△
23	Obj	ひどい目	False	判別不能	〇	〇	△
24	対象文	女性はためらわない			〇	〇	無
24	Who	女性	True		〇	〇	無
24	hasPredicate	ためらわない	True	hasPredicate	〇	〇	無
25	対象文	女性は呼び鈴の紐を引きちぎる			〇	〇	〇
25	Who	女性	True		〇	〇	〇
25	hasPredicate	引きちぎる	True	hasPredicate	〇	〇	〇
25	Obj	呼び鈴の紐	True	What	〇	〇	〇
26	対象文	解釈は色恋沙汰である			×	×	無
26	Who	解釈	False		×	×	無
26	hasPredicate	色恋沙汰である	False		×	×	無
27	対象文	女性は怒っていない			〇	〇	無
27	Who	女性	True		〇	〇	無
27	hasPredicate	怒っていない	True	hasProperty	〇	〇	無
28	対象文	女性は戸惑っている			〇	〇	無
28	Who	女性	True		〇	〇	無
28	hasPredicate	戸惑っている	True	hasPredicate	〇	〇	無
29	対象文	女性は悲嘆に暮れている			〇	×	×
29	Who	女性	True		〇	×	×
29	hasPredicate	暮れている	False		〇	×	×
29	Obj	悲嘆	False	判別不能	〇	×	×
30	対象文	女性の悩みはすぐに解ける			〇	×	無
30	Who	女性の悩み	True		〇	×	無
30	hasPredicate	すぐに解ける	False		〇	×	無
31	対象文	部屋の扉が叩かれる			×	〇	無
31	Who	部屋の扉	False		×	〇	無
31	hasPredicate	叩かれる	True	hasPredicate	×	〇	無
32	対象文	給仕服の少年が入ってきた			×	×	無
32	Who		False		×	×	無
32	hasPredicate	給仕服の少年が入ってきた	False		×	×	無
33	対象文	給仕服の少年が告げる			〇	〇	無
33	Who	給仕服の少年	True		〇	〇	無
33	hasPredicate	告げる	True	hasPredicate	〇	〇	無
33-1	対象文	女がサザランドである			×	×	無
33-1	Who	女	False		×	×	無
33-1	hasPredicate	サザランドである	False		×	×	無
34	対象文	サザランドが現れる			〇	〇	無
34	Who	サザランド	True		〇	〇	無
34	hasPredicate	現れる	True	hasPredicate	〇	〇	無
35	対象文	ホームズはサザランドを迎える			〇	〇	〇
35	Who	ホームズ	True		〇	〇	〇
35	hasPredicate	迎える	True	hasPredicate	〇	〇	〇
35	Obj	サザランド	True	What	〇	〇	〇
36	対象文	ホームズは扉を閉める			〇	〇	〇
36	Who	ホームズ	True		〇	〇	〇
36	hasPredicate	閉める	True	hasPredicate	〇	〇	〇
36	Obj	扉	True	What	〇	〇	〇
37	対象文	ホームズは肘掛け椅子を勧める			〇	〇	〇
37	Who	ホームズ	True		〇	〇	〇
37	hasPredicate	勧める	True	hasPredicate	〇	〇	〇
37	Obj	肘掛け椅子	True	What	〇	〇	〇
38	対象文	ホームズはサザランドをながめ回す			×	×	無
38	Who		False		×	×	無
38	hasPredicate	ホームズはサザランドをながめ回す	False		×	×	無
39	対象文	ホームズは以下を言った			〇	×	×
39	Who	ホームズ	True		〇	×	×
39	hasPredicate	言った	False		〇	×	×
39	Obj	以下	False	判別不能	〇	×	×
40	対象文	近眼はタイプ打ちにつらい			×	〇	〇
40	Who	近眼	False		×	〇	〇
40	hasPredicate	つらい	True	hasProperty	×	〇	〇
40	Obj	タイプ打ち	True	When	×	〇	〇
41	対象文	サザランドは以下を言った			〇	×	×
41	Who	サザランド	True		〇	×	×
41	hasPredicate	言った	False		〇	×	×
41	Obj	以下	False	判別不能	〇	×	×
42	対象文	近眼はつらい			〇	〇	無
42	Who	近眼	True		〇	〇	無
42	hasPredicate	つらい	True	hasProperty	〇	〇	無
43	対象文	サザランドは文字の位置がわかる			〇	×	無
43	Who	サザランド	True		〇	×	無
43	hasPredicate	文字の位置がわかる	False		〇	×	無
44	対象文	サザランドはホームズの言葉の意味に気づく			〇	〇	×
44	Who	サザランド	True		〇	〇	×
44	hasPredicate	気づく	True	hasPredicate	〇	〇	×
44	Obj	ホームズの言葉の意味	False	判別不能	〇	〇	×
45	対象文	サザランドは驚いた			〇	×	無
45	Who	サザランド	True		〇	×	無
45	hasPredicate	驚いた	False		〇	×	無
47	対象文	サザランドは以下を思った			〇	×	×
47	Who	サザランド	True		〇	×	×
47	hasPredicate	思った	False		〇	×	×
47	Obj	以下	False	判別不能	〇	×	×
48	対象文	ホームズはサザランドをすでに知っている			〇	×	〇
48	Who	ホームズ	True		〇	×	〇
48	hasPredicate	すでに知っている	False		〇	×	〇
48	Obj	サザランド	True	What	〇	×	〇
49	対象文	ホームズは以下を言った			〇	×	×
49	Who	ホームズ	True		〇	×	×
49	hasPredicate	言った	False		〇	×	×
49	Obj	以下	False	判別不能	〇	×	×
51	対象文	ホームズは他人の見落としがわかる			〇	×	無
51	Who	ホームズ	True		〇	×	無
51	hasPredicate	他人の見落としがわかる	False		〇	×	無
52	対象文	サザランドは以下を言った			〇	×	×
52	Who	サザランド	True		〇	×	×
52	hasPredicate	言った	False		〇	×	×
52	Obj	以下	False	判別不能	〇	×	×
53	対象文	サザランドはホームズをエサリッジから聞いた			〇	×	〇
53	Who	サザランド	True		〇	×	〇
53	hasPredicate	聞いた	False		〇	×	〇
53	Obj	ホームズ	True	What	〇	×	〇
53	Obj	エサリッジ	True	From	〇	×	〇
54	対象文	ホームズはエサリッジの夫を簡単に見つけた			〇	×	〇
54	Who	ホームズ	True		〇	×	〇
54	hasPredicate	簡単に見つけた	False		〇	×	〇
54	Obj	エサリッジの夫	True	What	〇	×	〇
55	対象文	警察はエサリッジの夫の死亡を断定していた			〇	×	〇
55	Who	警察	True		〇	×	〇
55	hasPredicate	断定していた	False		〇	×	〇
55	Obj	エサリッジの夫の死亡	True	What	〇	×	〇
56	対象文	サザランドは裕福ではない			〇	〇	無
56	Who	サザランド	True		〇	〇	無
56	hasPredicate	裕福ではない	True	hasProperty	〇	〇	無
57	対象文	サザランドは一年に百ドルを稼ぐ			〇	〇	〇
57	Who	サザランド	True		〇	〇	〇
57	hasPredicate	稼ぐ	True	hasPredicate	〇	〇	〇
57	Obj	一年	True	When	〇	〇	〇
57	Obj	百ドル	True	What	〇	〇	〇
58	対象文	サザランドはタイプ打ちである			〇	〇	無
58	Who	サザランド	True		〇	〇	無
58	hasPredicate	タイプ打ちである	True	hasProperty	〇	〇	無
60	対象文	ホームズがホズマを見つける			〇	〇	〇
60	Who	ホームズ	True		〇	〇	〇
60	hasPredicate	見つける	True	hasPredicate	〇	〇	〇
60	Obj	ホズマ	True	What	〇	〇	〇
62	対象文	サザランドは稼ぎをホームズに渡す			〇	〇	〇
62	Who	サザランド	True		〇	〇	〇
62	hasPredicate	渡す	True	hasPredicate	〇	〇	〇
62	Obj	稼ぎ	True	What	〇	〇	〇
62	Obj	ホームズ	True	What	〇	〇	〇
63	対象文	サザランドは家を飛び出した			〇	×	〇
63	Who	サザランド	True		〇	×	〇
63	hasPredicate	飛び出した	False		〇	×	〇
63	Obj	家	True	From	〇	×	〇
64	対象文	サザランドは腹を立てている			〇	×	×
64	Who	サザランド	True		〇	×	×
64	hasPredicate	立てている	False		〇	×	×
64	Obj	腹	False	判別不能	〇	×	×
65	対象文	ウィンディバンクは呑気である			〇	〇	無
65	Who	ウィンディバンク	True		〇	〇	無
65	hasPredicate	呑気である	True	hasProperty	〇	〇	無
66	対象文	ウィンディバンクは警察に行きたくない			×	×	無
66	Who		False		×	×	無
66	hasPredicate	ウィンディバンクは警察に行きたくない	False		×	×	無
67	対象文	ウィンディバンクはホームズを訪ねたくない			×	×	無
67	Who		False		×	×	無
67	hasPredicate	ウィンディバンクはホームズを訪ねたくない	False		×	×	無
68	対象文	ウィンディバンクはサザランドの義理の父である			〇	×	無
68	Who	ウィンディバンク	True		〇	×	無
68	hasPredicate	サザランドの義理の父である	False		〇	×	無
69	対象文	ウィンディバンクはサザランドより5年2ヶ月年上である			〇	×	無
69	Who	ウィンディバンク	True		〇	×	無
69	hasPredicate	サザランドより5年2ヶ月年上である	False		〇	×	無
70	対象文	サザランドの母は元気である			〇	〇	無
70	Who	サザランドの母	True		〇	〇	無
70	hasPredicate	元気である	True	hasProperty	〇	〇	無
71	対象文	サザランドの母は丈夫である			〇	〇	無
71	Who	サザランドの母	True		〇	〇	無
71	hasPredicate	丈夫である	True	hasProperty	〇	〇	無
72	対象文	サザランドの母はサザランドの父の死後に再婚した			〇	×	〇
72	Who	サザランドの母	True		〇	×	〇
72	hasPredicate	再婚した	False		〇	×	〇
72	Obj	サザランドの父の死後	True	When	〇	×	〇
73	対象文	サザランドの父はトテナム・コート通りで配管業である			〇	×	無
73	Who	サザランドの父	True		〇	×	無
73	hasPredicate	トテナム・コート通りで配管業である	False		〇	×	無
74	対象文	サザランドの父は店を残した			〇	×	〇
74	Who	サザランドの父	True		〇	×	〇
74	hasPredicate	残した	False		〇	×	〇
74	Obj	店	True	What	〇	×	〇
75	対象文	サザランドの母はハーディと続けていた			〇	×	〇
75	Who	サザランドの母	True		〇	×	〇
75	hasPredicate	続けていた	False		〇	×	〇
75	Obj	ハーディ	True	Whom	〇	×	〇
76	対象文	ハーディは現場頭である			〇	〇	無
76	Who	ハーディ	True		〇	〇	無
76	hasPredicate	現場頭である	True	hasProperty	〇	〇	無
77	対象文	ウィンディバンクはサザランドの父の店を売らせた			〇	×	〇
77	Who	ウィンディバンク	True		〇	×	〇
77	hasPredicate	売らせた	False		〇	×	〇
77	Obj	サザランドの父の店	True	What	〇	×	〇
78	対象文	ウィンディバンクはワインの外商である			〇	〇	無
78	Who	ウィンディバンク	True		〇	〇	無
78	hasPredicate	ワインの外商である	True	hasProperty	〇	〇	無
79	対象文	サザランドの父の店は4700ポンドで売れた			〇	×	〇
79	Who	サザランドの父の店	True		〇	×	〇
79	hasPredicate	売れた	False		〇	×	〇
79	Obj	4700ポンド	True	What	〇	×	〇
80	対象文	サザランドは以下を思う			〇	〇	×
80	Who	サザランド	True		〇	〇	×
80	hasPredicate	思う	True	hasPredicate	〇	〇	×
80	Obj	以下	False	判別不能	〇	〇	×
81	対象文	サザランドの父が以下を思う			〇	〇	×
81	Who	サザランドの父	True		〇	〇	×
81	hasPredicate	思う	True	hasPredicate	〇	〇	×
81	Obj	以下	False	判別不能	〇	〇	×
82	対象文	4700ポンドは少額である			〇	〇	無
82	Who	4700ポンド	True		〇	〇	無
82	hasPredicate	少額である	True	hasProperty	〇	〇	無
83	対象文	ワトソンは以下を思う			〇	〇	×
83	Who	ワトソン	True		〇	〇	×
83	hasPredicate	思う	True	hasPredicate	〇	〇	×
83	Obj	以下	False	判別不能	〇	〇	×
84	対象文	ホームズはサザランドの話にいらだっている			〇	〇	〇
84	Who	ホームズ	True		〇	〇	〇
84	hasPredicate	いらだっている	True	hasProperty	〇	〇	〇
84	Obj	サザランドの話	True	What	〇	〇	〇
85	対象文	ホームズはサザランドの話に集中している			〇	〇	〇
85	Who	ホームズ	True		〇	〇	〇
85	hasPredicate	集中している	True	hasPredicate	〇	〇	〇
85	Obj	サザランドの話	True	What	〇	〇	〇
86	対象文	サザランドが以下を言った			〇	×	×
86	Who	サザランド	True		〇	×	×
86	hasPredicate	言った	False		〇	×	×
86	Obj	以下	False	判別不能	〇	×	×
87	対象文	サザランドの収入はネッドの遺産である			×	〇	無
87	Who	サザランドの収入	False		×	〇	無
87	hasPredicate	ネッドの遺産である	True	hasProperty	×	〇	無
88	対象文	ネッドはサザランドの伯父である			〇	×	無
88	Who	ネッド	True		〇	×	無
88	hasPredicate	サザランドの伯父である	False		〇	×	無
89	対象文	ネッドはオークランドにいる			〇	〇	〇
89	Who	ネッド	True		〇	〇	〇
89	hasPredicate	いる	True	hasPredicate	〇	〇	〇
89	Obj	オークランド	True	Where	〇	〇	〇
90	対象文	遺産はニュージーランド株である			×	〇	無
90	Who	遺産	False		×	〇	無
90	hasPredicate	ニュージーランド株である	True	hasProperty	×	〇	無
91	対象文	遺産の配当は四分五厘である			×	〇	無
91	Who	遺産の配当	False		×	〇	無
91	hasPredicate	四分五厘である	True	hasProperty	×	〇	無
92	対象文	遺産の額面は2500ポンドである			×	〇	無
92	Who	遺産の額面	False		×	〇	無
92	hasPredicate	2500ポンドである	True	hasProperty	×	〇	無
93	対象文	サザランドは利回りを貰える			〇	〇	〇
93	Who	サザランド	True		〇	〇	〇
93	hasPredicate	貰える	True	hasPredicate	〇	〇	〇
93	Obj	利回り	True	What	〇	〇	〇
94	対象文	ホームズは以下を思った			〇	×	×
94	Who	ホームズ	True		〇	×	×
94	hasPredicate	思った	False		〇	×	×
94	Obj	以下	False	判別不能	〇	×	×
95	対象文	サザランドは興味深い			〇	〇	無
95	Who	サザランド	True		〇	〇	無
95	hasPredicate	興味深い	True	hasProperty	〇	〇	無
96	対象文	サザランドは一年に100ポンドをもらえる			〇	〇	〇
96	Who	サザランド	True		〇	〇	〇
96	hasPredicate	もらえる	True	hasPredicate	〇	〇	〇
96	Obj	一年	True	When	〇	〇	〇
96	Obj	100ポンド	True	What	〇	〇	〇
97	対象文	サザランドは稼ぎを持つ			〇	〇	〇
97	Who	サザランド	True		〇	〇	〇
97	hasPredicate	持つ	True	hasPredicate	〇	〇	〇
97	Obj	稼ぎ	True	What	〇	〇	〇
98	対象文	サザランドは余裕を持つ			〇	〇	〇
98	Who	サザランド	True		〇	〇	〇
98	hasPredicate	持つ	True	hasPredicate	〇	〇	〇
98	Obj	余裕	True	What	〇	〇	〇
99	対象文	独身女性は60ポンドで十分である			〇	〇	〇
99	Who	独身女性	True		〇	〇	〇
99	hasPredicate	十分である	True	hasProperty	〇	〇	〇
99	Obj	60ポンド	True	What	〇	〇	〇
100	対象文	サザランドは以下を言った			〇	×	×
100	Who	サザランド	True		〇	×	×
100	hasPredicate	言った	False		〇	×	×
100	Obj	以下	False	判別不能	〇	×	×
101	対象文	サザランドは60ポンド以下の収入で十分である			〇	〇	×
101	Who	サザランド	True		〇	〇	×
101	hasPredicate	十分である	True	hasProperty	〇	〇	×
101	Obj	60ポンド以下の収入	False	判別不能	〇	〇	×
102	対象文	サザランドは親に頼らない			〇	〇	〇
102	Who	サザランド	True		〇	〇	〇
102	hasPredicate	頼らない	True	hasPredicate	〇	〇	〇
102	Obj	親	True	What	〇	〇	〇
103	対象文	サザランドは親にお金を預けている			〇	〇	〇
103	Who	サザランド	True		〇	〇	〇
103	hasPredicate	預けている	True	hasPredicate	〇	〇	〇
103	Obj	親	True	Whom	〇	〇	〇
103	Obj	お金	True	What	〇	〇	〇
104	対象文	サザランドは親といる			〇	〇	〇
104	Who	サザランド	True		〇	〇	〇
104	hasPredicate	いる	True	hasPredicate	〇	〇	〇
104	Obj	親	True	What	〇	〇	〇
105	対象文	ウィンディバンクは利回りから四分の一を引き出す			〇	〇	〇
105	Who	ウィンディバンク	True		〇	〇	〇
105	hasPredicate	引き出す	True	hasPredicate	〇	〇	〇
105	Obj	利回り	True	From	〇	〇	〇
105	Obj	四分の一	True	What	〇	〇	〇
106	対象文	ウィンディバンクはサザランドの母に渡す			〇	〇	〇
106	Who	ウィンディバンク	True		〇	〇	〇
106	hasPredicate	渡す	True	hasPredicate	〇	〇	〇
106	Obj	サザランドの母	True	Whom	〇	〇	〇
107	対象文	サザランドはサザランドの稼ぎで十分である			〇	〇	×
107	Who	サザランド	True		〇	〇	×
107	hasPredicate	十分である	True	hasProperty	〇	〇	×
107	Obj	サザランドの稼ぎ	False	判別不能	〇	〇	×
108	対象文	サザランドは1枚で2ペンスを得る			〇	〇	△
108	Who	サザランド	True		〇	〇	△
108	hasPredicate	得る	True	hasPredicate	〇	〇	△
108	Obj	1枚	False	判別不能	〇	〇	△
108	Obj	2ペンス	True	What	〇	〇	△
109	対象文	サザランドは１日で最大20枚を処理する			〇	〇	〇
109	Who	サザランド	True		〇	〇	〇
109	hasPredicate	処理する	True	hasPredicate	〇	〇	〇
109	Obj	１日	True	When	〇	〇	〇
109	Obj	最大20枚	True	What	〇	〇	〇
110	対象文	ホームズはサザランドとホズマとの関係をサザランドに聞く			〇	〇	△
110	Who	ホームズ	True		〇	〇	△
110	hasPredicate	聞く	True	hasPredicate	〇	〇	△
110	Obj	サザランド	True	Whom	〇	〇	△
110	Obj	ホズマ	False	判別不能	〇	〇	△
110	Obj	の関係	False	判別不能	〇	〇	△
110	Obj	サザランド	True	Whom	〇	〇	△
111	対象文	サザランドは顔を赤らめる			〇	〇	〇
111	Who	サザランド	True		〇	〇	〇
111	hasPredicate	赤らめる	True	hasPredicate	〇	〇	〇
111	Obj	顔	True	What	〇	〇	〇
112	対象文	サザランドは上着の袖をつまむ			〇	〇	〇
112	Who	サザランド	True		〇	〇	〇
112	hasPredicate	つまむ	True	hasPredicate	〇	〇	〇
112	Obj	上着の袖	True	What	〇	〇	〇
113	対象文	サザランドは以下を言った			〇	×	×
113	Who	サザランド	True		〇	×	×
113	hasPredicate	言った	False		〇	×	×
113	Obj	以下	False	判別不能	〇	×	×
114	対象文	サザランドはガス工組合の舞踏会でホズマと出会う			〇	〇	〇
114	Who	サザランド	True		〇	〇	〇
114	hasPredicate	出会う	True	hasPredicate	〇	〇	〇
114	Obj	ガス工組合の舞踏会	True	Where	〇	〇	〇
114	Obj	ホズマ	True	What	〇	〇	〇
115	対象文	サザランドの父はガス工組合の舞踏会の招待状をサザランドに送っていた			〇	×	〇
115	Who	サザランドの父	True		〇	×	〇
115	hasPredicate	送っていた	False		〇	×	〇
115	Obj	ガス工組合の舞踏会の招待状	True	What	〇	×	〇
115	Obj	サザランド	True	Whom	〇	×	〇
116	対象文	サザランドとサザランドの母はサザランドの父の死後も舞踏会に行った			〇	×	〇
116	Who	サザランド	True		〇	×	〇
116	Who	サザランドの母	True		〇	×	〇
116	hasPredicate	行った	False		〇	×	〇
116	Obj	サザランドの父の死後	True	When	〇	×	〇
116	Obj	舞踏会	True	To	〇	×	〇
117	対象文	ウィンディバンクは以下を承知しない			〇	〇	×
117	Who	ウィンディバンク	True		〇	〇	×
117	hasPredicate	承知しない	True	hasPredicate	〇	〇	×
117	Obj	以下	False	判別不能	〇	〇	×
118	対象文	サザランドとサザランドの母が舞踏会に行く			〇	〇	〇
118	Who	サザランド	True		〇	〇	〇
118	Who	サザランドの母	True		〇	〇	〇
118	hasPredicate	行く	True	hasPredicate	〇	〇	〇
118	Obj	舞踏会	True	To	〇	〇	〇
119	対象文	サザランドとサザランドの母が外出する			〇	〇	無
119	Who	サザランド	True		〇	〇	無
119	Who	サザランドの母	True		〇	〇	無
119	hasPredicate	外出する	True	hasPredicate	〇	〇	無
120	対象文	ウィンディバンクは以下で狂う			〇	〇	×
120	Who	ウィンディバンク	True		〇	〇	×
120	hasPredicate	狂う	True	hasPredicate	〇	〇	×
120	Obj	以下	False	判別不能	〇	〇	×
121	対象文	サザランドが日曜学校の催しに行く			〇	〇	×
121	Who	サザランド	True		〇	〇	×
121	hasPredicate	行く	True	hasPredicate	〇	〇	×
121	Obj	日曜	False	判別不能	〇	〇	×
121	Obj	学校の催し	False	判別不能	〇	〇	×
122	対象文	サザランドは舞踏会参加を言った			〇	×	〇
122	Who	サザランド	True		〇	×	〇
122	hasPredicate	言った	False		〇	×	〇
122	Obj	舞踏会参加	True	What	〇	×	〇
123	対象文	ウィンディバンクはサザランドを止められない			〇	〇	〇
123	Who	ウィンディバンク	True		〇	〇	〇
123	hasPredicate	止められない	True	hasPredicate	〇	〇	〇
123	Obj	サザランド	True	What	〇	〇	〇
124	対象文	ウィンディバンクは以下を言う			〇	〇	×
124	Who	ウィンディバンク	True		〇	〇	×
124	hasPredicate	言う	True	hasPredicate	〇	〇	×
124	Obj	以下	False	判別不能	〇	〇	×
125	対象文	舞踏会の人は価値を持たない			〇	〇	〇
125	Who	舞踏会の人	True		〇	〇	〇
125	hasPredicate	持たない	True	hasPredicate	〇	〇	〇
125	Obj	価値	True	What	〇	〇	〇
126	対象文	サザランドの父の友人は舞踏会に参加している			〇	〇	〇
126	Who	サザランドの父の友人	True		〇	〇	〇
126	hasPredicate	参加している	True	hasPredicate	〇	〇	〇
126	Obj	舞踏会	True	Where	〇	〇	〇
127	対象文	ウィンディバンクは以下を言った			〇	×	×
127	Who	ウィンディバンク	True		〇	×	×
127	hasPredicate	言った	False		〇	×	×
127	Obj	以下	False	判別不能	〇	×	×
128	対象文	サザランドは着る服を持たない			×	×	×
128	Who	サザランド	False		×	×	×
128	hasPredicate	持たない	False		×	×	×
128	Obj	着る服	False	判別不能	×	×	×
130	対象文	サザランドは以下を言った			〇	×	×
130	Who	サザランド	True		〇	×	×
130	hasPredicate	言った	False		〇	×	×
130	Obj	以下	False	判別不能	〇	×	×
131	対象文	サザランドは紫のフラシ天を着た			〇	×	〇
131	Who	サザランド	True		〇	×	〇
131	hasPredicate	着た	False		〇	×	〇
131	Obj	紫のフラシ天	True	What	〇	×	〇
132	対象文	ウィンディバンクは所用のためフランスへ行った			〇	×	△
132	Who	ウィンディバンク	True		〇	×	△
132	hasPredicate	行った	False		〇	×	△
132	Obj	所用のため	False	判別不能	〇	×	△
132	Obj	フランス	True	To	〇	×	△
133	対象文	サザランドとサザランドの母とハーディは舞踏会に行った			〇	×	〇
133	Who	サザランド	True		〇	×	〇
133	Who	サザランドの母	True		〇	×	〇
133	Who	ハーディ	True		〇	×	〇
133	hasPredicate	行った	False		〇	×	〇
133	Obj	舞踏会	True	Where	〇	×	〇
134	対象文	サザランドは舞踏会でホズマに会った			〇	×	〇
134	Who	サザランド	True		〇	×	〇
134	hasPredicate	会った	False		〇	×	〇
134	Obj	舞踏会	True	Where	〇	×	〇
134	Obj	ホズマ	True	Whom	〇	×	〇
135	対象文	ホームズは以下を思った			〇	×	×
135	Who	ホームズ	True		〇	×	×
135	hasPredicate	思った	False		〇	×	×
135	Obj	以下	False	判別不能	〇	×	×
136	対象文	ウィンディバンクは以下を不満だった			〇	×	×
136	Who	ウィンディバンク	True		〇	×	×
136	hasPredicate	不満だった	False		〇	×	×
136	Obj	以下	False	判別不能	〇	×	×
137	対象文	サザランドが舞踏会に出た			〇	×	〇
137	Who	サザランド	True		〇	×	〇
137	hasPredicate	出た	False		〇	×	〇
137	Obj	舞踏会	True	Where	〇	×	〇
138	対象文	サザランドは以下を思った			〇	×	×
138	Who	サザランド	True		〇	×	×
138	hasPredicate	思った	False		〇	×	×
138	Obj	以下	False	判別不能	〇	×	×
139	対象文	ウィンディバンクは嬉しい			〇	〇	無
139	Who	ウィンディバンク	True		〇	〇	無
139	hasPredicate	嬉しい	True	hasPredicate	〇	〇	無
140	対象文	サザランドは以下を言った			〇	×	×
140	Who	サザランド	True		〇	×	×
140	hasPredicate	言った	False		〇	×	×
140	Obj	以下	False	判別不能	〇	×	×
141	対象文	ウィンディバンクは笑った			〇	×	無
141	Who	ウィンディバンク	True		〇	×	無
141	hasPredicate	笑った	False		〇	×	無
142	対象文	ウィンディバンクは以下を言った			〇	×	×
142	Who	ウィンディバンク	True		〇	×	×
142	hasPredicate	言った	False		〇	×	×
142	Obj	以下	False	判別不能	〇	×	×
143	対象文	女は自由である			〇	〇	無
143	Who	女	True		〇	〇	無
143	hasPredicate	自由である	True	hasProperty	〇	〇	無
144	対象文	サザランドは以下を言った			〇	×	×
144	Who	サザランド	True		〇	×	×
144	hasPredicate	言った	False		〇	×	×
144	Obj	以下	False	判別不能	〇	×	×
145	対象文	サザランドは舞踏会でホズマに出会った			〇	×	〇
145	Who	サザランド	True		〇	×	〇
145	hasPredicate	出会った	False		〇	×	〇
145	Obj	舞踏会	True	Where	〇	×	〇
145	Obj	ホズマ	True	Whom	〇	×	〇
146	対象文	ホズマは舞踏会の翌日にサザランドの家を訪ねる			〇	〇	〇
